Année;Id;Long;Q1;Q2;Q3;Q4;Q5;Q6;Q7;Q8;Q9;Q10;Q11;Q12;Q13;Q14;Q15;Q16;Q17;Q18;Q19;Q20;Q21;Q22;Q23;Q24;Q25;Q26;Q27;Q28;Q29;Q30;Q31;Q32;Q33
Année;Id;Long;4;5;8;3;6;9;2;1;4;5;14;3;7;11;5;2;5;6;11;3;6;9;6;10;4;5;6;1;2;2;3;2;3
Année;Id;Long;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
PCSI;An1.C1;Analyser le cahier des charges (diagramme des exigences, diagramme des cas d’utilisation);1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
PCSI;An1.C2;Analyser l'impact environnemental;1;2;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0
PCSI;An2.C3;Analuser les frontières de l’étude;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
PCSI;An2.C4;Analyser le milieu extérieur;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
PCSI;An2.C5;Analyser les flux échangés;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;3;0;0;0;0;0;0;0;4;0;0;0;0;0;0
PCSI;An3.C1;Analyser l'architecture fonctionnelle et structurelle;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
PCSI;An3.C2;Analyser le diagramme de définition de blocs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
PCSI;An3.C3;Analyser la chaîne directe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;4;0;0;0;0;0;0;0;1;0;0;0
PCSI;An3.C4;Analyser le système asservi;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PCSI;An3.C5;Analyser la commande;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PCSI;An3.C6;Analyser la chaîne d’information et d'énergie;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0
PCSI;An3.C7;Analyser le diagramme de blocs internes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PCSI;An3.C8;Analyser le diagramme paramétrique;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
PCSI;An3.C9;Analyser le système à événements discrets;0;2;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0
PCSI;An3.C10;Analyser le diagramme de séquences;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PCSI;An3.C11;Analyser le diagramme d’états;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
