PCSI;An1.C1;Cahier des charges (diagramme des exigences, diagramme des cas d’utilisation);CdC (req, uc);1
PCSI;An1.C1.SF1;Décrire le besoin;Décrire le besoin;1
PCSI;An1.C1.SF2;Traduire un besoin fonctionnel en exigences;Traduire un besoin fonctionnel en exigences;1
PCSI;An1.C1.SF3;Présenter la fonction globale;Présenter la fonction globale;1
PCSI;An1.C1.SF4;Définir les domaines d’application, les critères technico-économiques;Définir les domaines d’application, les critères technico-économiques;1
PCSI;An1.C1.SF5;Identifier les contraintes;Identifier les contraintes;1
PCSI;An1.C1.SF6;Identifier et caractériser les fonctions;Identifier et caractériser les fonctions;1
PCSI;An1.C1.SF7;Qualifier et quantifier les exigences (critère, niveau);Qualifier et quantifier les exigences;1
PCSI;An1.C2;Impact environnemental;Impact environnemental;1
PCSI;An1.C2.SF1;Évaluer l’impact environnemental (matériaux, énergies, nuisances);Évaluer l’impact environnemental;1
PCSI;An2.C3;Frontière de l’étude;Frontière de l’étude;2
PCSI;An2.C3.SF1;Isoler un système et justifier l’isolement;Isoler un système et justifier l’isolement;2
PCSI;An2.C4;Milieu extérieur;Milieu extérieur;2
PCSI;An2.C4.SF1;Définir les éléments influents du milieu extérieur;Définir les éléments influents du milieu extérieur;2
PCSI;An2.C5;Flux échangés;Flux échangés;2
PCSI;An2.C5.SF1;Identifier la nature des flux échangés (matière, énergie, information) traversant la frontière d’étude;Identifier la nature des flux échangés;2
PSI;An3.C1;Architectures fonctionnelle et structurelle;Architectures fonctionnelle et structurelle;1
PSI;An3.C1.SF1;Analyser les architectures fonctionnelle et structurelle;Analyser les architectures fonctionnelle et structurelle;1
PSI;An3.C1.SF2;Identifier les fonctions des différents constituants;Identifier les fonctions des différents constituants;1
PSI;An3.C1.SF3;Repérer les constituants dédiés aux fonctions d’un système;Repérer les constituants dédiés aux fonctions d’un système;1
PSI;An3.C1.SF4;Identifier la structure d'un système asservi : chaîne directe, capteur, commande, consigne, comparateur, correcteur;Identifier la structure d'un système asservi;1
PSI;An3.C1.SF5;Identifier et positionner les perturbations;Identifier et positionner les perturbations;1
PCSI;An3.C1.SF6;Différencier régulation et poursuite;Différencier régulation et poursuite;1
PSI;An3.C1.SF7;Justifier le choix des constituants dédiés aux fonctions d’un système;Justifier le choix des constituants dédiés aux fonctions d’un système;4
PCSI;An3.C10;Diagramme de séquences;Diagramme de séquences;2
PCSI;An3.C11;Diagramme d’états;Diagramme d’états;2
PSI;An3.C12;Réversibilité de la chaîne d’énergie;Réversibilité de la chaîne d’énergie;3
PSI;An3.C12.SF1;Analyser la réversibilité d’un constituant dans une chaîne d’énergie;Analyser la réversibilité d’un constituant dans une chaîne d’énergie;3
PSI;An3.C13;Source;Source;3
PSI;An3.C14;Modulateur;Modulateur;3
PSI;An3.C15;Actionneur;Actionneur;3
PSI;An3.C16;Chaîne de transmission;Chaîne de transmission;3
PSI;An3.C2;Diagrammes de définition de blocs;Diagrammes de définition de blocs;1
PSI;An3.C3;Chaîne directe;Chaîne directe;1
PSI;An3.C4;Dystème asservi;Dystème asservi;1
PSI;An3.C5;Commande;Commande;1
PCSI;An3.C6;Chaîne d’information et d'énergie;Chaîne d’information et d'énergie;1
PCSI;An3.C6.SF1;Identifier et décrire la chaîne d’information et la chaîne d'énergie du système;Identifier et décrire la chaîne d’information et la chaîne d'énergie du système;1
PCSI;An3.C6.SF2;Identifier les liens entre la chaîne d’énergie et la chaîne d'information;Identifier les liens entre la chaîne d’énergie et la chaîne d'information;1
PCSI;An3.C6.SF3;Identifier les constituants de la chaîne d'information réalisant les fonctions acquérir, coder, communiquer, mémoriser, restituer, traiter;Identifier les constituants de la chaîne d'information;1
PCSI;An3.C6.SF4;Identifier les constituants de la chaîne d'énergie réalisant les fonctions agir, alimenter, convertir, oduler, transmettre, stocker;Identifier les constituants de la chaîne d'énergie;1
PSI;An3.C6.SF5;Vérifier l’homogénéité et la compatibilité des flux entre les différents constituants;Vérifier l’homogénéité et la compatibilité des flux entre les différents constituants;4
PSI;An3.C6.SF6;Identifier la nature et les caractéristiques des flux échangés;Identifier la nature et les caractéristiques des flux échangés;4
PSI;An3.C6.SF7;Identifier et interpréter les modèles des constituants du système;Identifier et interpréter les modèles des constituants du système;4
PCSI;An3.C7;Diagramme de blocs internes;Diagramme de blocs internes;1
PCSI;An3.C8;Diagramme paramétrique;Diagramme paramétrique;1
PCSI;An3.C9;Systèmes à événements discrets;Systèmes à événements discrets;2
PCSI;An3.C9.SF1;Interpréter tout ou partie de l’évolution temporelle d’un système;Interpréter tout ou partie de l’évolution temporelle d’un système;2
PSI;An4.C1;Identification des écarts;Identification des écarts;4
PSI;An4.C1.SF1;Extraire du cahier des charges les grandeurs pertinentes;Extraire du cahier des charges les grandeurs pertinentes;4
PSI;An4.C1.SF2;Traiter des données de mesures et en extraire les caractéristiques statistiques;Traiter des données de mesures et en extraire les caractéristiques statistiques;4
PSI;An4.C1.SF3;Exploiter et interpréter les résultats d’un calcul ou d’une simulation;Exploiter et interpréter les résultats d’un calcul ou d’une simulation;4
PSI;An4.C2;Quantification des écarts;Quantification des écarts;4
PSI;An4.C2.SF1;Quantifier des écarts entre des valeurs attendues et des valeurs mesurées;Quantifier des écarts entre des valeurs attendues et des valeurs mesurées;4
PSI;An4.C2.SF2;Quantifier des écarts entre des valeurs attendues et des valeurs obtenues par simulation;Quantifier des écarts entre des valeurs attendues et des valeurs obtenues par simulation;4
PSI;An4.C2.SF3;Quantifier des écarts entre des valeurs mesurées et des valeurs obtenues par simulation;Quantifier des écarts entre des valeurs mesurées et des valeurs obtenues par simulation;4
PSI;An4.C3;Interprétation des écarts obtenus;Interprétation des écarts obtenus;4
PSI;An4.C3.SF1;Vérifier la cohérence des résultats d’expérimentation avec les valeurs souhaitées du cahier des charges;Vérifier la cohérence des résultats d’expérimentation avec les valeurs souhaitées du cahier des charges;4
PSI;An4.C3.SF2;Vérifier la cohérence du modèle choisi avec des résultats d’expérimentation;Vérifier la cohérence du modèle choisi avec des résultats d’expérimentation;4
PSI;An4.C3.SF3;Vérifier la cohérence du modèle choisi avec les valeurs souhaitées du cahier des charges;Vérifier la cohérence du modèle choisi avec les valeurs souhaitées du cahier des charges;4
PSI;An4.C3.SF4;Rechercher et proposer des causes aux écarts constatés;Rechercher et proposer des causes aux écarts constatés;4
